Titles,Multiplayer,Year Released,Developers,Publishers,Region Released,Plot,Gameplay
Looney Tunes Double Pack (Dizzy Driving / Acme Antics),,20052006,Various,Majesco Entertainment,"NA, PAL",NaN,NaN
Looney Tunes: Back in Action,,2003,Warthog Games,Electronic Arts,"NA, PAL",NaN,"Gameplay involves playing as Bugs Bunny or Daffy Duck.  Each character has their own unique special abilities and the game requires using both characters. Along the way, money is found all over the place, usually as coins and bills. Gold bar are also found but rarely. Coins are worth $5, bills are worth $50, and gold is worth $100. Some items are buried in the ground.  The money is used to access any of 4 other regions in the game such as Vegas or Paris.  Each character can take 3 hits.  Upon the third hit, they return to the last checkpoint.  There is an unlimited number of lives. Bugs Bunny has the special abilities of digging and double-jumping. Daffy Duck has the special abilities of fluttering and swimming. Bugs and Daffy must accomplish four to six challenges within each of five regions.[citation needed] The PlayStation 2 version includes bonus features such as the making of the game.
"
The Lord of the Rings: The Fellowship of the Ring,No,2002,Pocket Studios,Black Label Games,"NA, PAL",NaN,"The Lord of the Rings: The Fellowship of the Ring is an action-adventure game played from a third-person perspective. The player controls one of three characters at various points in the game: Frodo Baggins, Aragorn, and Gandalf, each of whom has their own weapons and abilities.[6] Frodo is the only character who can jump, shimmy along ledges and sneak.[7] Only Frodo and Gandalf can push and pull items.[8] Gandalf is the only character who has access to magic. Aragorn has the most health, is physically the strongest character and has more melee combat moves.[9][10]
In combat, Frodo has access to three melee weapons at different stages in the game. Initially, he is armed with a walking stick. Later, he acquires a dagger, and finally, he can use the short sword Sting.[11] Frodo can also throw stones, and can turn invisible for limited periods of time by using the One Ring. Aragorn is initially armed with a basic longsword, but later acquires Andúril.[11] He also possesses a bow, and he can kick out at enemies. Gandalf uses his sword Glamdring and has several magical abilities, such as a fire attack, chain lightning and healing.[12] The player can also switch to first-person view at any time during the game. This can help targeting when Frodo is throwing stones or Aragorn is firing arrows. Movement during first-person view is limited to strafing left and right.[13][14]
When playing as Frodo, there are two meters on screen. One represents his health; the other represents his ""purity."" As soon as Frodo puts on the One Ring, he begins to draw the gaze of Sauron, and his purity begins to diminish. If the purity meter empties before he takes the Ring off, he will become corrupted, and the game will end. Once he removes the Ring, the meter will begin to fill again.[15]  Gandalf also has two meters; health and magic spirit. As he uses magic, his spirit meter will begin to deplete. When it is empty, he can no longer cast spells. He can refill the meter by drinking miruvor. Aragorn has only one meter; his health bar.[16]
The game features a number of collectible items. Often, they are quest items necessary for progressing in the story, but occasionally, the player can find health items; mushrooms for Frodo's health, cram bread and lembas for Aragorn and Gandalf, and miruvor for Gandalf's magic spirit.[17] The Xbox version of the game features secret areas in many levels, where special items can be found. The Ring itself helps guide the player to these locations as its on screen image begins to rotate when a player is near such an area; the faster the rotation, the closer the player is to the secret location. The Xbox version also features numerous side-missions absent in the other versions of the game.[10]
The Game Boy Advance version is different from the other three versions insofar as it is more RPG based, and is played from an isometric three-quarter top-down view.[18] Gameplay focuses on turn-based combat, and at various points, all nine members of the fellowship (Frodo, Sam, Pippin, Merry, Aragorn, Gandalf, Legolas, Gimli and Boromir) are controllable, each with their own strengths, weaknesses and growth charts.[19] During combat, the player has the choice to fully control each member of their active party (up to four characters), or instead, control only the main player character, and have the other three controlled by the AI.[20]
"
The Lord of the Rings: The Two Towers|The Lord of the Rings: Futatsu no TouJP,Yes (COOP),2002,Griptonite Games,Electronic Arts,"NA, PAL, JP",NaN,"The Two Towers is a hack and slash action game played from a third-person perspective. The game features levels taken either directly from scenes in The Fellowship of the Ring and The Two Towers films, or based closely on elements from the films. For example, the levels during the defense of Helm's Deep are very similar to the corresponding scenes in the film, but a level in Fangorn Forest in which the player fights orcs, Uruk-hai and trolls is original to the game. For most of the game, the player is free to play as Aragorn, Gimli or Legolas. In the game's main opening level, however, set at Weathertop, only Aragorn is playable. Isildur is also a playable character in a tutorial level set during the Battle of the Last Alliance. All subsequent levels can be played with any of the three characters. Often, the two characters not chosen as the player character will appear as supporting NPCs.[8] Upon completing the game with all three characters, the player can play through every level with Isildur. In the Game Boy Advance version, which is played from an isometric three-quarter top-down view, the playable characters are Aragorn, Legolas, Gandalf, Frodo and Éowyn, with Gimli available as an unlockable character once the player has completed the game with two other characters.[9]
Although all three characters have different weapons and combos, their basic fighting style is the same. Each character has a quick attack which does minimal damage and can be easily blocked, and a fierce attack, which does more damage, but is slower and leaves the player vulnerable to attack. Only fierce attacks can break enemy shields. Each character also has a ranged attack, a ""killing move"" (which can be used to instantly kill downed enemies), a parry (which can deflect enemy attacks), a knock back (which pushes nearby enemies away), a jump back (in which the player character jumps back away from the enemy) and a devastating attack (a charged fierce attack).[10] Combos are an important part of combat, with each character having access to a unique list of combos, which are achieved by stringing specific button presses together.[10] Additionally, each character is more skilled at a particular type of combat; Aragorn is the bestest melee fighter, Legolas is better at ranged combat, and Gimli is a balanced character with nice melee and ranged attacks.[11]
Combos, as well as health increases, and stronger ranged and devastating attacks must be purchased between levels in the skill upgrades screen. During each level, the player will be continually graded on the skill with which they dispatch enemies; ""Fair"", ""Good"", ""Excellent"" and ""Perfect."" The more skill with which the player kills, the more experience they acquire. The player's skill is measured by an on-screen meter which increases as the player dispatches enemies. To avoid the meter dropping back down, the player must avoid being hit, and must kill enemies using a variety of different methods. When a player reaches a Perfect level, all of their attacks increase in strength, and the experience from each kill is doubled. However, Perfect status only lasts for a brief period of time.[12] At the end of each level, the player is then given an overall rating based on their performance, and awarded the corresponding number of upgrade points to spend on new combos and stronger attacks. The better the player has performed during the level, the more upgrade points that will be made available.[13] Certain upgrades only become available for purchase once a player has reached a specific experience level.
In the GBA version, each character has fifteen active and passive skills that can be unlocked and upgraded as the player gains experience. One of the active skills, for example, is ""Summon""; Gandalf summons a Great Eagle, Aragorn summons either Legolas or Gimli; Legolas summons Gimli; Frodo summons Sam, and Éowyn summons Éomer. Passive skills include the ability for Aragorn to wield two swords at once, to hit enemies with his shield, and to throw his sword at nearby foes. Legolas can gain a quickdraw skill, as well as the ability to shoot multiple arrows at once. Every time the player increases in level, they can attribute points to strength, accuracy, health, defense, and courage. Additionally, Frodo has the ability to use the One Ring to turn invisible, but he can only do so for a certain amount of time before attracting the attention of Sauron. The game also features co-op multiplayer through the Game Boy link function.[9]
"
The Lord of the Rings: The Return of the King|The Lord of the Rings: Ou no KikanJP,Yes,2003,Griptonite Games,EA Games,"NA, PAL, JP","Todd Arnold, senior producer of The Return of the King, stated that the game was not intended to re-tell the story of the film,
but to allow the player to come as close as possible to experiencing the critical parts of the film for themselves. Levels were designed with this goal in mind, with just enough plot to give context to the player's actions.[23] Liberties were thus taken with the plot,[24] and critics noted there was little footage which could spoil the film for those who had not seen it.[16][25] GameSpot's Greg Kasavin said ""if you didn't know anything about the story of The Return of the King, then the story of the game may be hard to follow, though you'll still get the gist of it."" However, he also advised, ""in case you don't want any aspect of the movie spoiled for you, it'd be wise to hold off on playing The Return of the King until after you've seen the movie.""[16]
The game begins during the Battle of the Hornburg at Helm's Deep, with the Uruk-hai having just penetrated the outer walls. With the defenders falling back to the inner court, Gandalf (voiced by Ian McKellen) appears on a hill-top flanked by thousands of Rohirrim. The player takes control of Gandalf as he enters the battle and helps defeat the Uruk-hai and orc army. After this level, the game splits into three separate mission arcs, each with its own individual set of characters. The ""Path of the Wizard"" follows Gandalf, the ""Path of the King"" follows Aragorn (Chris Edgerly), Legolas (Andrew Chaikin) and Gimli (John Rhys-Davies), and the ""Path of the Hobbits"" follows Frodo (Elijah Wood) and Sam (Sean Astin), although initially only Sam is playable.[16][26]
The Path of the Wizard continues immediately after the events of the first level. The remains of the Uruk-hai and orc army flee into Fangorn Forest. However, within the forest, the Ents, led by Treebeard, have awoken and joined the fight against Sauron. Gandalf helps the ents as they destroy the rest of the army, and then assists them in bringing down a dam holding back the River Isen. This floods Isengard, trapping Saruman (Christopher Lee), who had joined forces with Sauron, in his tower, Orthanc. Gandalf and Pippin (Billy Boyd) then head to Minas Tirith, capital of Gondor, leaving Aragorn, Legolas, Gimli and the Rohirrim to follow them. Gandalf has gone ahead of the others because Sauron mistakenly believes that Pippin has the Ring, and Gandalf plans to use this confusion to distract Sauron as Frodo and Sam are led by Gollum (Andy Serkis) towards Mount Doom to destroy the Ring. In Minas Tirth, Gandalf helps repulse the enemies from the walls for a time, but eventually, they break through the city's defenses. Gandalf and the soldiers of Minas Tirith then retreat to a courtyard, where they must defend the fleeing civilians from the enemy. Once the people are safely inside, Gandalf can do little but await the arrival of Aragorn.
The Path of the King picks up with Aragorn, Legolas, Gimli and the Rohirrim on the way to Minas Tirith. Before arriving, however, the three companions must walk the Paths of the Dead in an effort to convince the Army of the Dead to join their cause in the War of the Ring. To do so, they must defeat the King of the Dead (Jarion Monroe) in combat. After this, the Paths of the Dead start to collapse, and they must escape before the falling rubble crushes them. With the Army of the Dead pledged to aid them, they travel to Minas Tirith and enter the Battle of the Pelennor Fields. Joining the Rohirrim and the soldiers of Minas Tirith, they face orcs, Easterlings, Haradrim and oliphaunts. They must also defend Merry (Dominic Monaghan) and Éowyn (Lorri Holt), allowing Éowyn the opportunity to defeat the Witch-king of Angmar. As it seems they are about to be overwhelmed, the Army of Dead arrive, destroying the forces of Mordor and saving Minas Tirith.
The Path of the Wizard and Path of the King share the same final level, set at the Black Gate of Mordor. In a further effort to distract Sauron from the approach of Frodo and Sam, Gandalf advises that Aragorn and the remaining army marches to the Gates of Mordor as a direct challenge to Sauron, who will send out a vast army to meet them, thus keeping his attention away from Mount Doom. Upon arriving at the Gate, the party are confronted by the Mouth of Sauron (Roger L. Jackson), who tells them that Frodo is dead. They kill him and must then face a massive army of orcs, before fighting the remaining Nazgûl. Not believing Frodo to be dead, they plan to fight as long as they can, ultimately sacrificing themselves so as to give Frodo enough time to destroy the Ring.
In The Path of the Hobbits, Frodo, Sam and Gollum must first escape from Osgiliath, fighting past orcs to get to the sewers and ensuring that Frodo is not kidnapped by the Nazgûl. However, upon escaping, Gollum decides to betray them and take the Ring back for himself. He tricks Frodo into going on without Sam, but Sam follows them into Shelob's lair. In the lair, Gollum abandons Frodo, and Sam must fight past giant spiders and orcs, eventually facing Shelob herself, who has attacked Frodo. Sam defeats Shelob, but upon reaching Frodo, he mistakenly believes him to be dead. About to go to Mount Doom on his own, he hides as a group of orcs arrive and hears them say that Frodo is alive but unconscious. They take him with them as Sam follows them to the Tower of Cirith Ungol. As Sam is about to enter the Tower, the orcs begin fighting among themselves, and Sam uses the distraction to rescue Frodo. Together, they head to Mount Doom. However, before Frodo can throw the Ring into the lava below, he is attacked by Gollum, who takes the Ring. In the final level, the player controls Frodo as he fights Gollum on the edge of the precipice. Frodo successfully defeats Gollum, knocking him into the lava and destroying the Ring forever.
","Described by the developers as a modern version of Gauntlet, The Return of the King is a hack and slash action game played from a third-person perspective.[12] The game is very similar to its predecessor in basic gameplay. Each character has a quick attack which does minimal damage and can be easily blocked, and a fierce attack, which does more damage, but is slower and leaves the player vulnerable to attack. Only fierce attacks can break enemy shields. Each character also has a ranged attack, a ""killing move"" (which can be used to instantly kill downed enemies), a parry (which can deflect enemy attacks), a knock back (which pushes nearby enemies away), a jump back (in which the player character jumps back away from the enemy), a devastating attack (a charged fierce attack) and a special ability.[13] Playable characters in the console and PC versions are Gandalf, Aragorn, Legolas, Gimli, Frodo and Sam, with Faramir, Pippin and Merry available as unlockable characters. Playable characters in the GBA version are Aragorn, Legolas, Gimli, Frodo, Gandalf, and Éowyn, with Gollum and Sam available as unlockable characters.[14][15]
Each playable character has their own set of combos and attributes. After the end of each level the player can upgrade their characters' abilities and combos using experience points. The number of points available to the player depends on the efficiency of their kills.[16] During each level, the player will be continually graded on the skill with which they dispatch enemies; ""Fair"", ""Good"", ""Excellent"" and ""Perfect."" The more skill with which the player kills, the more experience they acquire. The player's skill is measured by an on-screen meter which increases as the player dispatches enemies. To avoid the meter dropping back down, the player must avoid being hit, and kill enemies using a variety of different methods. When a player reaches a Perfect level, all of their attacks increase in strength, and the experience from each kill is doubled. However, Perfect status only lasts for a brief period of time.[17] A new aspect of Return of the King is that at the end of each level, rather than purchasing upgrades for the individual character, the player can also purchase ""Fellowship"" upgrades which apply to every playable character. However, characters will only be able to avail of a particular skill when they have reached the corresponding experience level.[18]
A major change from The Two Towers is the interactive nature of the game environments.[12] The player can operate machinery, for example bridges and catapults, to complete objectives, and use environmental objects as weapons, such as spears and cauldrons, to kill enemies.[19][20] The levels are also twice the size of the largest level from The Two Towers and many are less linear.[19] Unlike The Two Towers, The Return of the King features a co-op mode, allowing two players to play through the game together.[16] The North American PlayStation 2 version also has an online multiplayer mode, with USB headset support,[21] although this was removed from the European version of the game.[22]
The Game Boy Advance version is played from an isometric three-quarter top-down view.[15] A major gameplay difference in this version is the addition of ""runes"" which players can etch into their weapons, granting them special abilities. The game also features co-op multiplayer through the Game Boy link function, and unlockable content when connected to the GameCube version via the GameCube – Game Boy Advance link cable.[14]
"
The Lord of the Rings: The Third Age|The Lord of the Rings: Nakatsukuni DaisankiJP,Yes,2004,Griptonite Games,EA Games,"NA, PAL, JP",NaN,"When starting a campaign, the player is prompted to choose a commander from either good (Aragorn, Gandalf or Elrond) or evil (Saruman, the Witch-King of Angmar or the Mouth of Sauron).  Selecting a commander from either side begins a campaign from the perspective of that army. The player can store two saved games at any given time, one each for good and evil.
Depending on the campaign, a number of secondary heroes are available for use in battle.  The good heroes include members of the Fellowship and supporting allies such as Legolas, Gimli, Theoden, Eomer, Eowyn, Faramir and Boromir.  The evil heroes include a variety of orcs and servants of evil from the films and novel trilogy, such as Grima Wormtongue, Gorbag, Sharku, Ugluk, Grishnakh, Lurtz and Gothmog.  As the player completes missions and progresses through the campaign, they are able to use experience points to purchase skills and equipment upgrades in order to enhance the performance of their primary and secondary heroes.  The game may be played on ""Sauron Mode"", whereby heroes who fall in battle are unavailable for the remainder of the campaign.[citation needed]
A number of non-selectable, non-upgradable heroes appear and are playable in certain missions.  In the case of the good campaign, these  include Merry, Pippin, Treebeard, Prince Theodred, and Isildur, as well as unnamed captain units.  On the evil campaign, these additional companions include Orc chieftains and captains, Uruk-hai lieutenants and captains, and in a few select missions, the Dark Lord Sauron. Units known as standard-bearers are also occasionally available to either side and add to the command points on a given flank. 
The campaign comprises 24 levels in addition to two tutorial levels and six bonus missions.  All of the missions in a given episode must be completed to move to the next portion of the trilogy. Several bonus levels and heroes are unlockable by meeting specific conditions while playing the game.[citation needed]
"
The Lost Vikings,Yes (COOP),2003,Mass Media,Blizzard Classic Arcade,"NA, PAL","Three Vikings—Erik the Swift, Baleog the Fierce, and Olaf the Stout—get kidnapped by Tomator, emperor of the alien Croutonian empire, for an inter-galactic zoo. They are able to escape the ship, but get lost in various periods of time. They must traverse various bizarre locations, and eventually confront and defeat Tomator, to find their way home.
","The Lost Vikings is a side-scrolling platform adventure in which the player alternates control of the three Viking characters, guiding each of them one at a time (though control may be swapped from character to character at any point) from a designated start point in each level to the exit. The game offers a two-player cooperative mode in which each player simultaneously controls one Viking and is allowed to change control to the third, unused Viking at any point. Every level is designed such that each Viking must contribute his unique skills to help the other two through to the end. Similarly, to finish the level, all three characters must reach the exit point. The Vikings each have three health points which they can lose by getting hurt by enemies or by falling from great heights. Should any Viking run out of health points, he dies; gameplay will then continue with any remaining Vikings, but the level becomes unwinnable, and the player will eventually have to restart the level and try again. However, the game offers unlimited continues.
Each Viking has the ability to carry and use items—such as keys, bombs, and food (which restores health points)—as well as a unique set of skills:
"
Love Hina Advance: Shukufuku no Kane wa Harukana,,2001,Marvelous Entertainment,Marvelous Entertainment,JP,"The story is a shōnen comedy that takes place in the Kanagawa Prefecture, and centers on Keitarō Urashima and his attempts to fulfill a childhood promise that he made with a girl to enter the University of Tokyo together. However, he has forgotten the name of the girl he made the promise to and hopes to be accepted into the university in order to find her. Having failed the entrance exam twice and with his parents no longer willing to support him, he goes to stay at his grandmother's hotel, only to find out that it has been converted into a female-only apartment. The tenants are about to kick him out when his aunt appears and announces that his grandmother has given him the title to the apartments. Much to their dismay Keitarō becomes the new manager of the family-owned girls' dorm Hinata House and must now balance his new responsibilities in addition to studying for the university entrance exam.
At Hinata House, Keitarō meets Naru Narusegawa, who is also studying to enter the university. Naru ranks first in the whole of Japan on the practice exams, and Keitarō convinces her to help him study. As the two of them grow closer through their studies, and after Keitarō accidentally reads a small section of Naru's diary, he becomes increasingly convinced that Naru may be the girl with whom he made the promise. On the second day of the university exam, Keitarō asks Naru about the promise and is stunned when she tells him he is mistaken. Despite their studying, and Naru's mock exam results, they both fail the exams. The pair then have an argument and independently run off to Kyoto to clear their heads. While on their trip they settle their differences and meet Mutsumi Otohime, who lives in Okinawa and is also studying for the university exams.
After returning from Kyoto, Keitarō and Naru decide to retake the exams. After a while, Mutsumi moves to Tokyo, and the three begin to study together. During this period, Naru becomes convinced that Mutsumi is Keitarō's promised girl, but Mutsumi states that she made a childhood promise with Naru, not Keitarō. During the next round of university exams, Keitarō believes he has failed them once again and runs away before finding out his results. After learning of this, Naru chases after him without checking her exam results either, and they are followed by the rest of the residents of Hinata House who announce that Keitarō and Naru both passed the exams along with Mutsumi. Unfortunately for him, Keitarō has an accident at the University of Tokyo opening ceremony and is unable to attend classes for three months. After recovering from his injuries, Keitarō decides to study overseas with Noriyasu Seta. As Keitarō is about to leave, Naru finally confesses her feelings to him at the airport and decides to wait for him to return.
When Keitarō returns, he and Naru finally begin to express their feelings for each other. After they deal with new obstacles, Grandma Hina returns to Hinata House and reveals Naru is the girl of Keitarō's promise. Three years later, a wedding ceremony (with a new girl, Ema Maeda, presented) is held at Hinata House for Naru and Keitarō as they finally fulfill their childhood promise to each other.
",NaN
Lucky Luke: Wanted!,,2001,WizardSoft,Infogrames,PAL,NaN,NaN
Lufia: The Ruins of Lore|Estopolis Densetsu: Chinmoku no IsekiJP,Yes (COOP),2002JP2003NA,Atelier Double,TaitoJPAtlusNA,"NA, JP","Lufia: The Ruins of Lore takes place 20 years after the events of Lufia II. After the defeat of the Sinistrals by Maxim, the world has enjoyed a season of relative peace. However, this is threatened when the Kingdom of Gratze, a growing military superpower, allies itself with a mysterious man named Ragule and declared war on its bordering nations. Their primary goal is to scour the world in search of a powerful monster known simply as ""The Beast"", that, once under their control, would all but insure their conquest of the world. The game is told from the perspective of a young man named Eldin, who, during this age of conflict is traveling the world in search of adventure and intrigue. On his journey, he meets a young priestess named Rubius who is searching for mystic shards and stones that will allow her to enter a fabled holy land. One of the places she needs to go to obtain one is Ragule's fortress, and once they arrive, they meet the despot and realize that if the world is ever to be at peace again, he must be stopped at any cost.
","Much like the rest of the Lufia series, The Ruins of Lore plays like a typical role-playing video game, where the player must advance through several scenarios and navigate dangerous dungeons, fighting enemies along the way. Unlike typical computer RPGs, the battles are not random, and the monsters are displayed in the dungeon itself along with the characters. Combat only ensues when they come in contact with each other.
Winning battles grants the player experience points which go toward gaining levels, making the characters stronger in the process, and just like  Lufia II: Rise of the Sinistrals, several monsters (called ""Disc Monsters"" in this title and caught in battle in a similar manner to Pokémon) can be captured instead of slain and used to fight with the party. The monsters can be fused with Eldin, Torma or Rami for three turns in combat once a character's Installation Points (""IP"") reach their maximum. These points are visible by a gauge just beneath the characters hit points and ability points, and fill up when they are hit by an enemy. In the new merged state, the player loses control of the character but gains two abilities. The first ability is invincibility: while the character is merged with a monster, the character cannot sustain damage or receive status ailments in any way. The second is a special attack (depending on which form the character is using) that may or may not do more damage than the character normally can: this same move is repeated until all three turns pass. Once three turns go by, the character and the monster split and revert to normal. The character cannot merge with its selected monster partner unless it has built up at least three hearts worth of Loyalty with that monster (Loyalty can be found on the monster's status menu; the max number of hearts is five). Loyalty is raised by simply having the monster accompany one's party and earn experience from fights, although the monster does not have to actually be an active fighter to raise its Loyalty.
Characters can also make use of different actions outside of combat. By hitting the B button, each character has a special field skill that can help the party complete puzzles or cross impassable terrain. Certain puzzles or mazes will have to be solved using these techniques at the proper times.
Eldin, Torma and Rami can change their current professions at any time, once the player has reached a certain point in the game. Each profession grants an immediate increase and decrease to certain stats, and professions dictate which statistics are increased when a character levels. Additionally, each job is given a rank, which is increased by gaining experience after a battle; certain jobs require a character to have already mastered another one to advance to it. For example, the ""Knight"" class gives a character increased strength, but lower intelligence, and the character must have obtained a master rank in ""Swordsman"" as a prerequisite to advance. Other jobs include Chemist, Bishop, Rogue, and Brawler. Also, the job of the character dictates which special moves and spells it learns during a battle. It's a good idea to switch jobs between the three to ensure a large variety of moves for each character, such as healing and attack spells for everyone. A typical setup would be to make both Eldin and Torma assume fighting-style jobs while Rami assumes magical-oriented ones, though this reduces diversity in skill among the three.
Similar to previous games in the series, The Ruins of Lore features a massive, optional dungeon called the Ancient Cave. Gameplay in the Ancient Cave differs from the regular gameplay in numerous respects. Only Eldin may enter it, along with his monster companion if he has one. He may also bring only 10 types of items along with him into the cave, not including anything he and his monster may have equipped. The menu is unable to be accessed in between fights in the dungeon, so keeping one's character healed during fights is vital. There are no monsters roaming around the maps, and the maps are randomly generated each time the player enters the cave. Monsters, as well as traps, are hiding in many of the bags and chests strewn about the dungeon, waiting for adventurers to stumble upon them. Each floor culminates in a boss fight at the end of the level. Victory allows the player to progress to the next floor of the dungeon. Lastly, the only way to leave the dungeon, short of dying and losing all of one's items, is to find and use an item that can only be found in the Ancient Cave, called Providence. Unlike Lufia II's Ancient Cave, this game's version has only 60 floors. The reward at the end is the Egg Ring, an accessory famous from Lufia II which greatly enhances the parameters of a character when worn. Incidentally, it is possible to get more Egg Rings after one's first completion so that all four heroes wear one.
"
Lunar Legend,,2002,Japan Art Media,Media RingsJPUbisoftNA,"NA, JP",NaN,"Lunar Legend plays very much like a traditional RPG, with 2D character sprites and environments. Unlike Lunar: The Silver Star, the battles do not consist of characters moving across the battlefield to attack enemies, instead having them retreat back to their original positions after attacking. The battles themselves are random, occurring every few steps within a dungeon or in scripted circumstances. By gaining experience after each fight, characters can level up, gaining new abilities and becoming stronger in the process. A new feature includes the use of special attacks akin to limit breaks via an ""Arts gauge"" underneath the character's HP and MP. It fills up as the character attacks enemies (whether or not the hit is successful) and once it's full, the character can unleash a powerful ability that generally does more damage than weapons or spells, or has a special effect such as rendering the party invincible for a short period of time. Ramus, Ghaleon and Laike, however, cannot unleash these special attacks.
Some of these special attacks can be changed by equipping certain items. For example, if Nash or Mia equip the Light Emblem accessory, it changes their special attacks to ""Charge"", which allows them to store magic power for one round. The next time they cast an attack spell, the damage is increased more than normal.
The player travels through the world of Lunar via the world map, visiting various towns, cities, and dungeons. Unlike The Silver Star, there are no random battles on the world map and each location is accessed by simply selecting it.
"
M&M's Blast!,,2001,Pipe Dream Interactive,Majesco Entertainment,,NaN,NaN
M&M's Break' Em,,2007,Frame Studios Interactive,DSI Games,,NaN,NaN
Madagascar,,2005,Vicarious Visions,Activision,"NA, PAL, JP","Marty the zebra, Alex the lion, Gloria the Hippopotamus and Melman the Giraffe live in the Central Park Zoo in New York. On Marty's tenth birthday, Marty starts to have doubts that the zoo is where he belongs, and finds that life in the zoo is boring. That night, a penguin living in the zoo named Skipper decides to break out of the zoo, and invites Marty to come with him, and gives Marty directions on how to clear paths. Skipper, in order to escape himself, is forced to abandon Marty in the process, but gives him more directions. Marty manages to make it to the main exit and leave. Realizing this, Alex, Melman and Gloria decide to go and look for him. As they find him, they are surrounded by police, tranquilized, and sent to a wild life reserve. Skipper and his team of penguins: Private, Rico and Kowalski are also on board. They escape from their crate and head for the bridge where they knock the captain unconscious and turn the ship around to Antarctica. Marty, Alex, Melman and Gloria fall into the ocean in the process. Alex is washed onto a beach unconscious, and soon wakes up. Finding an opened crate which belonging to Marty on the beach, he concludes that his friends are there too, and goes off to find them. In the jungle, he helps different animals with their tasks, and in return they give him his friends' whereabouts and finally reunites with his friends.
They go search for help, and find an entire tribe of lemurs having a party. The lemurs introduce themselves, and explain that the island they are on is called Madagascar, but as they talk, they are attacked by the fossas, the enemies of lemurs. The animals protect the lemurs, and help them collect food for another party. After the party, Gloria finds that Alex is acting strange because he didn't eat any food during the party, and tells Melman to go find steak while she goes to find Marty, Melman fails in finding steak, and meets up with Maurice, Gloria and Marty. Marty announces that Alex bit him on the butt. Maurice explains that lions are supposed to eat other animals, and that Alex never harmed animals before because in the zoo food was given to him, and the four flee to the beach. A warthog named Wilbur, who falls in love with Gloria and agrees to give them information if she gives him a kiss after the work, tells them that the rescue beacon on the beach is broken, but there are many things lying around the beach that they can use to rebuild the beacon. They collect enough materials for the beacon and finally, a beacon like the statue of liberty is built.
Marty decides that he must go back for Alex. Meanwhile, Alex is hiding in the lair of the Foosa, feeling ashamed of himself. He encounters the Fossa leader and defeats him, after which Marty arrives and rescues Alex and they give the leader to the penguins and reunite with Melman and Gloria at the beach. There, the lemurs thank the gang for their help.
","The player mainly controls Marty the zebra, while in other levels the player can control Gloria the hippo, Melman the giraffe, and Alex the lion. Each character in the game has his or her own ability. To gain their abilities, the player must first find three cards, known as power cards, to gain the character's ability.
"
Madagascar: Operation Penguin,,2005,Vicarious Visions,Activision,"NA, PAL",NaN,NaN
Madden NFL 2002,,2001,"EA Tiburon, Budcat Creations",EA Sports,,NaN,NaN
Madden NFL 2003,,2002,"EA Tiburon, Budcat Creations",EA Sports,,NaN,NaN
Madden NFL 2004,,2003,"EA Tiburon, Budcat Creations",EA Sports,,NaN,"New features in Madden 2004 include a new owner mode option that allows the player to control a franchise. In this mode, the player takes on all the responsibilities related to owning a professional football team, from regulating hot dog prices, to team relocation, to hiring and firing coaching staff. Another new feature is the ability to edit a historic team. Also, a new training camp mode, occurring before the preseason, that can help player progress faster by putting him through mini-camp drills.
This Madden game is best known for its version of then-Falcons quarterback Michael Vick, an arguably overpowered character and by acclaim the greatest Madden player of all-time due to his 95 speed rating.[1][2][3] In 2016, developer Clint Oldenburg told Gameradar that over the next several years ""features were added to the game specifically to stop Vick."" The 04 version of Vick has been used in Madden NFL 25 and 15 in Ultimate Team mode as a 99 overall with either 99 or 100 speed.
The game is an EA Sports Bio game, and is compatible with other EA Sports games with the feature (NCAA Football 2004, NASCAR Thunder 2004).[4]
The soundtrack of the game features various hip hop and rock songs.
"
Madden NFL 2005,,2004,Exient Entertainment,EA Sports,,NaN,NaN
Madden NFL 06,,2005,Exient Entertainment,EA Sports,,NaN,NaN
Madden NFL 07,,2006,Exient Entertainment,EA Sports,,NaN,NaN
